is_post,publish_date,author,url,post_title,comment_count
1,"Sunday, January 30, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/building-successful-career-in.html,Building a Successful Career in Scientific Research by Phil Dee - Book review,1
1,"Saturday, January 29, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/7-ways-to-motivate-yourself.html,7 ways to motivate yourself,24
1,"Thursday, January 27, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/literature-review-sequel.html,Literature review - The sequel,0
1,"Monday, January 24, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/how-to-handle-large-amount-of.html,How to handle a large amount of literature,23
1,"Sunday, January 23, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/mindfulness-your-thoughts-as-leaves-on.html,Mindfulness - your thoughts as leaves on a stream,0
1,"Friday, January 21, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/riddle-of-shear-failure.html,The riddle of shear failure,7
1,"Thursday, January 20, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/silent-creativity-killer-lack-of-sleep.html,The silent creativity killer: lack of sleep,0
1,"Tuesday, January 18, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/phd-defense-at-tu-delft.html,A PhD defense at TU Delft,11
1,"Sunday, January 16, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/few-thoughts-on-video-mindfulness-with.html,"A few thoughts on the video ""Mindfulness with Jon Kabat-Zinn""",0
1,"Friday, January 14, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/reflections-on-lifehacks-11-things-to.html,Reflections on Lifehack's 11 things to avoid in 2011,0
1,"Thursday, January 13, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/if-i-had-time-machine.html,If I had a time machine...,2
1,"Monday, January 10, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/mastering-your-phd-by-p-gosling-and-b.html,Mastering your PhD by P. Gosling and B. Noordam - Book Review,2
1,"Sunday, January 9, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/overcoming-fear.html,Overcoming fear,4
1,"Saturday, January 8, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/some-motivational-words.html,Some motivational words,0
1,"Friday, January 7, 2011",eva lantsoght,http://phdtalk.blogspot.com/2011/01/reflecting-on-reverb10.html,Reflecting on Reverb10,0
